S. No.,Name & Address of cold storage,Capacity in Metric Tons,Sector,Products stored,Latitude,Longitude
213,"OM COLD STORAGE & ICE PLANT,NH-No. 8, Near Piplag Crossing,Piplag, Nadiad.",2281,Privateÿ,Potatoesÿ,22.664802738903,72.859629828161
215,"SHREENATH COLD STORAGE,Near Old Post Office,PO Chaklasi, Tal, Nadiad.",4199,Privateÿ,Potatoesÿ,22.650255,72.925762
216,"SHRI AMBICA COLD STORAGE,Opp. Malra Pura,ÿ Post Box No. 59,Nadiad - 387001.",1023,Privateÿ,Potatoesÿ,22.6997304,72.8673225
217,"SHRI GANESH ICE & COLD STORAGE262/2, Kanjari Gram,262/2, Kanjari Gram,",3028,Privateÿ,Potatoesÿ,22.6997304,72.8673225
218,"SIDHARTH COLD STORAGEBakrol Tal, Anand.",1476,Privateÿ,Potatoesÿ,22.5630561,72.9605772
219,"VEEKAY COLD STORAGEAt Gutal,ÿ Ta Nadiad.",2032,Privateÿ,Potatoesÿ,22.641615,72.872716
220,SUDARSHAN COLD STORAGEBoriavi - 387310.,2828,Privateÿ,Potatoesÿ,22.610399,72.931297
221,"RAVI COLD STORAGERavalpura, Ta Anand.",2684,Privateÿ,Potatoesÿ,22.594428,72.954488
222,"VRUNDAVAN COLD STORAGEKanjari, Ta Nadiad.",3236,Privateÿ,Potatoesÿ,22.620758,72.926763
223,"KAIVALKRUPA COLD STORAGEAjanpura, Ta Anand.",1714,Privateÿ,Potatoesÿ,22.5630561,72.9605772
224,UNIQUE COLD STORAGE PVT. LTD.Uttarsanda - 387370.,3598,Privateÿ,Potatoesÿ,22.5630561,72.9605772
225,"NATRAJ COLD STORAGE,Tandel - 387001.",6099,Privateÿ,Potatoesÿ,22.6980138,72.8567502
226,"SHREE RAM COLD STORAGEVagashi, Ta Anand - 388001",1312,Privateÿ,Potatoesÿ,22.6980138,72.8567502
228,"H.I. PATEL COLD STORAGEAsodar, Ta-Borsad.",2254,Privateÿ,Potatoesÿ,22.4100958,72.9046926
229,"KISHAN COLD STORAGE,Piplag.",1838,Privateÿ,Potatoesÿ,22.4100958,72.9046926
